hi its lucy hubby at meetins all day fri i will b alone at hotel u fancy cumin over pls leave msg 2day 09099726395 lucy x calls 1 minmobsmorelkpobox177hp51fl,1
think ur smart win 200 this week in our weekly quiz text play to 85222 now t cs winnersclub po box 84 m26 3uz 16 gbp1 50 week,1
guess what somebody you know secretly fancies you wanna find out who it is give us a call on 09065394514 from landline datebox1282essexcm61xn 150p min 18,1
sorry for the delay yes masters,0
you ve won tkts to the euro2004 cup final or 800 cash to collect call 09058099801 b4190604 pobox 7876150ppm,1
just curious because my cuz asked what i was up to,0
t mobile customer you may now claim your free camera phone upgrade a pay go sim card for your loyalty call on 0845 021 3680 offer ends 28thfeb t c s apply,1
hello from orange for 1 month s free access to games news and sport plus 10 free texts and 20 photo messages reply yes terms apply www orange co uk ow,1
yeah like if it goes like it did with my friends imma flip my shit in like half an hour,0
hi finally i completed the course,0
your next amazing xxx picsfree1 video will be sent to you enjoy if one vid is not enough for 2day text back the keyword picsfree1 to get the next video ,1
last chance claim ur 150 worth of discount vouchers today text shop to 85023 now savamob offers mobile t cs savamob pobox84 m263uz 3 00 sub 16,1
urgent we are trying to contact u todays draw shows that you have won a 800 prize guaranteed call 09050003091 from land line claim c52 valid 12hrs only,1
pls help me tell sura that i m expecting a battery from hont and that if should pls send me a message about how to download movies thanks,0
hi hope ur day good back from walk table booked for half eight let me know when ur coming over,0
in the simpsons movie released in july 2007 name the band that died at the start of the film a green day b blue day c red day send a b or c ,1
pls send me your address sir,0
check wid corect speling i e sarcasm,0
can you do a mag meeting this avo at some point,0
double mins double txt 1 2 price linerental on latest orange bluetooth mobiles call mobileupd8 for the very latest offers 08000839402 or call2optout lf56,1
no de am seeing in online shop so that i asked,0
what time you coming down later,0
give one miss from that number please,0
yes the only place in town to meet exciting adult singles is now in the uk txt chat to 86688 now 150p msg ,1
gr8 new service live sex video chat on your mob see the sexiest dirtiest girls live on ur phone 4 details text horny to 89070 to cancel send stop to 89070,1
08714712388 between 10am 7pm cost 10p,1
ok i msg u b4 i leave my house,0
urgent call 09066350750 from your landline your complimentary 4 ibiza holiday or 10 000 cash await collection sae t cs po box 434 sk3 8wp 150 ppm 18 ,1
do you want 750 anytime any network mins 150 text and a new video phone for only five pounds per week call 08000776320 now or reply for delivery tomorrow,1
congratulations thanks to a good friend u have won the 2 000 xmas prize 2 claim is easy just call 08712103738 now only 10p per minute bt national rate,1
knock knock txt whose there to 80082 to enter r weekly draw 4 a 250 gift voucher 4 a store of yr choice t cs www tkls com age16 to stoptxtstop 1 50 week,1
are you being good baby,0
k still are you loving me,0
jus telling u dat i ll b leaving 4 shanghai on 21st instead so we ll haf more time 2 meet up cya,0
thanx,0
i m so in love with you i m excited each day i spend with you you make me so happy,0
normally i use to drink more water daily,0
mm yes dear look how i am hugging you both p,0
r u still working now,0
yo any way we could pick something up tonight,0
themob yo yo yo here comes a new selection of hot downloads for our members to get for free just click open the next link sent to ur fone ,1
dear voucher holder to claim this weeks offer at you pc please go to http www e tlp co uk reward ts cs apply ,1
i hav almost reached call i m unable to connect u,0
happy new years melody,0
free msg single find a partner in your area 1000s of real people are waiting to chat now send chat to 62220cncl send stopcs 08717890890 1 50 per msg,1
urgent call 09066612661 from landline your complementary 4 tenerife holiday or 10 000 cash await collection sae t cs po box 3 wa14 2px 150ppm 18 sender hol offer,1
private your 2003 account statement for shows 800 un redeemed s i m points call 08715203685 identifier code 4xx26 expires 13 10 04,1
adult 18 content your video will be with you shortly,1
dunno leh cant remember mayb lor so wat time r we meeting tmr,0
i m coming back on thursday yay is it gonna be ok to get the money cheers oh yeah and how are you everything alright hows school or do you call it work now,0
you are awarded a sipix digital camera call 09061221061 from landline delivery within 28days t cs box177 m221bp 2yr warranty 150ppm 16 p p 3 99,1
check out choose your babe videos sms shsex netun fgkslpopw fgkslpo,1
lookatme thanks for your purchase of a video clip from lookatme you ve been charged 35p think you can do better why not send a video in a mmsto 32323 ,1
hey kate hope ur ok will give u a buz wedlunch go outsomewhere 4 adrink in town cud go 2watershd 4 a bit ppl fromwrk will bthere love petexxx,0
dear voucher holder 2 claim your 1st class airport lounge passes when using your holiday voucher call 08704439680 when booking quote 1st class x 2,1
i want to send something that can sell fast lt gt k is not easy money,0
hi there 2nights ur lucky night uve been invited 2 xchat the uks wildest chat txt chat to 86688 now 150p msgrcvdhg suite342 2lands row w1j6hl ldn 18yrs,1
just chill for another 6hrs if you could sleep the pain is not a surgical emergency so see how it unfolds okay,0
cheers for the card is it that time of year already,0
do you realize that in about 40 years we ll have thousands of old ladies running around with tattoos ,1
gonna let me know cos comes bak from holiday that day is coming don t4get2text me number,0
i ve been barred from all b and q stores for life this twat in orange dungerees came up to me and asked if i wanted decking so i got the first punch in,0
the house is on the water with a dock a boat rolled up with a newscaster who dabbles in jazz flute behind the wheel,0
you didn t hear it from me,0
hi customer loyalty offer the new nokia6650 mobile from only 10 at txtauction txt word start to no 81151 get yours now 4t ctxt tc 150p mtmsg,1
should i buy him a blackberry bold 2 or torch should i buy him new or used let me know plus are you saying i should buy the lt gt g wifi ipad and what are you saying about the about the lt gt g,0
no go no openings for that room til after thanksgiving without an upcharge,0
urgent important information for 02 user today is your lucky day 2 find out why log onto http www urawinner com there is a fantastic surprise awaiting you ,1
sir goodmorning once free call me,0
in da car park,0
life alle mone eppolum oru pole allalo,0
you have 1 new message please call 08712400200 ,1
latest news police station toilet stolen cops have nothing to go on ,1
lol no u can trust me,0
yup no need i ll jus wait 4 e rain 2 stop,0
sms ac sptv the new jersey devils and the detroit red wings play ice hockey correct or incorrect end reply end sptv,1
urgent we are trying to contact u todays draw shows that you have won a 2000 prize guaranteed call 09066358361 from land line claim y87 valid 12hrs only,1
wot student discount can u get on books,0
i have a sore throat it s scratches when i talk,0
you have 1 new voicemail please call 08719181513 ,1
do you want a new nokia 3510i colour phone delivered tomorrow with 200 free minutes to any mobile 100 free text free camcorder reply or call 8000930705,1
http tms widelive com index wml id 820554ad0a1705572711 first true c c ringtone ,1
money you r a lucky winner 2 claim your prize text money 2 88600 over 1million to give away ppt150x3 normal text rate box403 w1t1jy,1
i come n pick up come out immediately aft ur lesson,0
i called but no one pick up e phone i ask both of them already they said ok,0
jay says that you re a double faggot,0
then just eat a shit and wait for ur monkey face bitch u asshole,0
i havent lei next mon can,0
thanks for your ringtone order reference number x49 your mobile will be charged 4 50 should your tone not arrive please call customer services 09065989182,1
it to 80488 your 500 free text messages are valid until 31 december 2005 ,1
hope you are having a great new semester do wish you the very best you are made for greatness,0
ringtone club gr8 new polys direct to your mobile every week ,1
missed call alert these numbers called but left no message 07008009200,1
you are guaranteed the latest nokia phone a 40gb ipod mp3 player or a 500 prize txt word collect to no 83355 ibhltd ldnw15h 150p mtmsgrcvd18 ,1
really i tot ur paper ended long ago but wat u copied jus now got use u happy lar i still haf 2 study,0
your b4u voucher w c 27 03 is marsms log onto www b4utele com for discount credit to opt out reply stop customer care call 08717168528,1
bored of speed dating try speedchat txt speedchat to 80155 if you don t like em txt swap and get a new chatter chat80155 pobox36504w45wq 150p msg rcd 16,1
came to look at the flat seems ok in his 50s is away alot wiv work got woman coming at 6 30 too,0
we left already we at orchard now,0
call germany for only 1 pence per minute call from a fixed line via access number 0844 861 85 85 no prepayment direct access www telediscount co uk,1
thanks for the vote now sing along with the stars with karaoke on your mobile for a free link just reply with sing now ,1
england v macedonia dont miss the goals team news txt ur national team to 87077 eg england to 87077 try wales scotland 4txt 1 20 poboxox36504w45wq 16 ,1
as one of our registered subscribers u can enter the draw 4 a 100 g b gift voucher by replying with enter to unsubscribe text stop,1
no current and food here i am alone also,0
hi wkend ok but journey terrible wk not good as have huge back log of marking to do,0
keep ur problems in ur heart b coz nobody will fight for u only u amp u have to fight for ur self amp win the battle vivekanand g 9t sd,0
do you want a new nokia 3510i colour phone deliveredtomorrow with 300 free minutes to any mobile 100 free texts free camcorder reply or call 08000930705 ,1
customer service announcement we recently tried to make a delivery to you but were unable to do so please call 07090298926 to re schedule ref 9307622,1
hi babe u r most likely to be in bed but im so sorry about tonight i really wanna see u tomorrow so call me at 9 love me xxx,0
hope you enjoyed your new content text stop to 61610 to unsubscribe help 08712400602450p provided by tones2you co uk,1
yeah we wouldn t leave for an hour at least how s 4 sound,0
thanks for your ringtone order reference number x49 your mobile will be charged 4 50 should your tone not arrive please call customer services 09065989182 from colour red text colour txtstar,1
hi if ur lookin 4 saucy daytime fun wiv busty married woman am free all next week chat now 2 sort time 09099726429 janinexx calls 1 minmobsmorelkpobox177hp51fl,1
 free polyphonic ringtone text super to 87131 to get your free poly tone of the week now 16 sn pobox202 nr31 7zs subscription 450pw,1
not heard from u4 a while call 4 rude chat private line 01223585334 to cum wan 2c pics of me gettin shagged then text pix to 8552 2end send stop 8552 sam xxx,1
i m reaching home in 5 min,0
urgent we are trying to contact u todays draw shows that you have won a 2000 prize guaranteed call 09058094507 from land line claim 3030 valid 12hrs only,1
pass dis to all ur contacts n see wat u get red i m in luv wid u blue u put a smile on my face purple u r realy hot pink u r so swt orange i thnk i lyk u green i realy wana go out wid u yelow i wnt u bck black i m jealous of u brown i miss you nw plz giv me one color,0
save money on wedding lingerie at www bridal petticoatdreams co uk choose from a superb selection with national delivery brought to you by weddingfriend,1
rose for red red for blood blood for heart heart for u but u for me send tis to all ur friends including me if u like me if u get back 1 u r poor in relation 2 u need some 1 to support 3 u r frnd 2 many 4 some1 luvs u 5 some1 is praying god to marry u try it,0
i know you are thinkin malaria but relax children cant handle malaria she would have been worse and its gastroenteritis if she takes enough to replace her loss her temp will reduce and if you give her malaria meds now she will just vomit its a self limiting illness she has which means in a few days it will completely stop,0
u dun say so early hor u c already then say,0
am going to take bath ill place the key in window,0
ringtoneking 84484,1
sorry i now then c ur msg yar lor so poor thing but only 4 one night tmr u ll have a brand new room 2 sleep in,0
freemsg why haven t you replied to my text i m randy sexy female and live local luv to hear from u netcollex ltd 08700621170150p per msg reply stop to end,1
mathews or tait or edwards or anderson,0
moji i love you more than words have a rich day,0
get ready to moan and scream,0
spjanuary male sale hot gay chat now cheaper call 08709222922 national rate from 1 5p min cheap to 7 8p min peak to stop texts call 08712460324 10p min ,1
guess who am i this is the first time i created a web page www asjesus com read all i wrote i m waiting for your opinions i want to be your friend 1 1,1
allo we have braved the buses and taken on the trains and triumphed i mean we re in b ham have a jolly good rest of week,0
thanks and or bomb and date as my phone wanted to say,0
not a drop in the tank,0
anything lar then not going home 4 dinner,0
free 1st week entry 2 textpod 4 a chance 2 win 40gb ipod or 250 cash every wk txt pod to 84128 ts cs www textpod net custcare 08712405020 ,1
hey thk we juz go accordin to wat we discussed yest lor except no kb on sun cos there s nt much lesson to go if we attend kb on sat,0
yoyyooo u know how to change permissions for a drive in mac my usb flash drive,0
i ll be late,0
can you please send me my aunty s number,0
havent stuck at orchard in my dad s car going 4 dinner now u leh so r they free tonight,0
as i entered my cabin my pa said happy b day boss i felt special she askd me 4 lunch after lunch she invited me to her apartment we went there,0
urgent you have won a 1 week free membership in our 100 000 prize jackpot txt the word claim to no 81010 t c www dbuk net lccltd pobox 4403ldnw1a7rw18,1
you are now unsubscribed all services get tons of sexy babes or hunks straight to your phone go to http gotbabes co uk no subscriptions ,1
free 1st week entry 2 textpod 4 a chance 2 win 40gb ipod or 250 cash every wk txt vpod to 81303 ts cs www textpod net custcare 08712405020 ,1
free nokia or motorola with upto 12mths 1 2price linerental 500 free x net mins 100txt mth free b tooth call mobileupd8 on 08001950382 or call 2optout d3wv,1
rct thnq adrian for u text rgds vatian,1
they will pick up and drop in car so no problem,0
customer service annoncement you have a new years delivery waiting for you please call 07046744435 now to arrange delivery,1
goodmorning sleeping ga,0
storming msg wen u lift d phne u say hello do u knw wt is d real meaning of hello it s d name of a girl yes and u knw who is dat girl margaret hello she is d girlfrnd f grahmbell who invnted telphone moral one can 4get d name of a person bt not his girlfrnd g o o d n i g h t,0
i have had two more letters from i will copy them for you cos one has a message for you speak soon,0
freemsg today s the day if you are ready i m horny live in your town i love sex fun games netcollex ltd 08700621170150p per msg reply stop to end,1
aft i finish my lunch then i go str down lor ard 3 smth lor u finish ur lunch already,0
urgent your 4 costa del sol holiday or 5000 await collection call 09050090044 now toclaim sae tc s pobox334 stockport sk38xh cost 1 50 pm max10mins,1
reminder you have not downloaded the content you have already paid for goto http doit mymoby tv to collect your content ,1
k k i m also fine when will you complete the course,0
ryder unsold now gibbs,0
wa u so efficient gee thanx,0
monthly password for wap mobsi com is 391784 use your wap phone not pc ,1
dating i have had two of these only started after i sent a text to talk sport radio last week any connection do you think or coincidence ,1
no i got rumour that you going to buy apartment in chennai,0
hi this is mandy sullivan calling from hotmix fm you are chosen to receive 5000 00 in our easter prize draw please telephone 09041940223 to claim before 29 03 05 or your prize will be transferred to someone else ,1
 for the most sparkling shopping breaks from 45 per person call 0121 2025050 or visit www shortbreaks org uk ,1
said kiss kiss i can t do the sound effects he is a gorgeous man isn t he kind of person who needs a smile to brighten his day,0
update now 12mths half price orange line rental 400mins call mobileupd8 on 08000839402 or call2optout j5q,1
urgent call 09066649731from landline your complimentary 4 ibiza holiday or 10 000 cash await collection sae t cs po box 434 sk3 8wp 150ppm 18 ,1
ok lor but buy wat,0
1000 s of girls many local 2 u who r virgins 2 this r ready 2 4fil ur every sexual need can u 4fil theirs text cute to 69911 1 50p m ,1
important message this is a final contact attempt you have important messages waiting out our customer claims dept expires 13 4 04 call 08717507382 now ,1
no rushing i m not working i m in school so if we rush we go hungry,0
jay told me already will do,0
